Sample_Index,col0,col1
350,-18644,13858
351,-18634,2593
352,-18624,1568
353,-22708,-3550
354,-21673,-3548
355,8020,-22992
356,12111,-14792
357,11082,-20925
358,22336,16955
359,-14520,12853
360,-5301,-23999
361,16196,-13752
362,18236,-11698
363,-3266,20037
364,-8381,21051
365,-4282,22065
366,-5303,21031
367,-12464,16927
368,-8363,17943
369,-14499,10770
370,-15515,-18916
371,24410,-12765
372,5976,19994
373,-25755,-1509
374,-26765,-2531
375,9071,-19929
376,7020,-20942
377,13158,-20931
378,9058,-20920
379,16219,-15792
380,17235,17992
381,-13478,4678
382,-8353,-26029
383,20310,-5546
384,-11428,23115
385,-20633,-4530
386,-20622,-5551
387,-17541,-11689
388,-16508,-14753
389,18300,-7581
390,16245,18011
391,-17538,5721
392,-4223,-21916
393,28532,2659
394,-3210,19034
395,-19584,-3492
396,-20597,-11678
397,-18539,-14742
398,15246,-20875
399,13192,15982
400,-17519,13928
401,17289,-6548
402,-3189,15973
403,-24680,-9622
404,5014,-17805
405,20365,11886
406,-13420,20069
407,-12389,-18833
408,14229,-12682
409,7058,19053
410,-24673,-2449
411,3998,-19847
412,-10332,19056
413,-16467,-12681
414,18341,-15745
415,13215,20086
416,-20566,2677
417,-5203,-28029
418,20388,-1404
419,-1115,23161
420,-23631,-9602
421,13227,-16761
422,23456,16000
423,-16471,9852
424,24478,-8575
425,10138,23158
426,-26712,3701
427,4007,-23935
428,23452,12923
429,-13405,23152
430,-16468,-13705
431,12199,-14721
432,15264,22133
433,-26706,7794
434,-2128,-17797
435,-1103,25199
436,-17478,-9612
437,9142,-16771
438,18350,13943
439,-22598,14960
440,-10304,-15752
441,22454,-2438
442,2997,23151
443,-20544,-3471
444,6078,-27009
445,23475,10874
446,-14405,17010
447,15284,-16773
448,11183,26223
449,-20550,9835
450,-4163,-27015
451,25521,-2437
452,-6219,22129
453,-19521,-4492
454,17335,-23936
455,17327,17016
456,-20550,9844
457,-7234,-18818
458,8123,25202
459,-25656,625
460,3015,-21892
461,20414,9848
462,-11324,19055
463,-20529,-18823
464,20422,-15743
465,13248,20088
466,-22580,8820
467,-51,-30077
468,24514,642
469,-10296,26230
470,16321,-22910
471,19384,13948
472,-20541,12918
473,-15413,-17793
474,24512,-5502
475,3007,22136
476,-22581,-3462
477,7112,-22906
478,24509,10881
479,-14395,19064
480,-18481,-25979
481,8140,24186
482,-24615,8822
483,-5156,-25981
484,26576,3714
485,-1071,23159
486,-21540,-10627
487,10200,-21880
488,20431,18048
489,-21542,15993
490,-10272,-25978
491,25556,-5495
492,6098,21119
493,5072,-25972
494,27587,8840
495,-14389,20095
496,-20522,-21878
497,21452,-14702
498,12231,26246
499,-23597,6787
500,2002,-26991
501,25542,1680
502,-6198,25220
503,-25641,-13685
504,23500,21121
505,-24615,19064
506,-14367,-21885
507,28628,-10615
508,4051,25213
509,-31773,-3457
510,8160,-26995
511,23509,16006
512,-15395,25210
513,-18457,-19836
514,25563,-13685
515,8152,26239
516,-6180,-25972
517,28623,-371
518,-10283,32382
519,-31771,-8573
520,18397,-23921
521,19412,16008
522,-23584,14977
523,-12313,-28017
524,27610,-3439
525,7127,33409
526,-27675,-1406
527,31702,6783
528,-12323,27250
529,-22551,-20867
530,21471,-18809
531,10203,25211
532,-25624,7800
533,-6164,-30073
534,26592,646
535,-9243,24187
536,-25614,-10623
537,14316,-25970
538,23521,21124
539,-12312,-25967
