Sample_Index, I, Q
0, 121, 122
1, 122, 126
2, 126, 129
3, 131, 128
4, 132, 128
5, 126, 128
6, 129, 124
7, 130, 123
8, 132, 124
9, 130, 126
10, 129, 126
11, 130, 124
12, 130, 126
13, 128, 129
14, 129, 126
15, 126, 123
16, 124, 126
17, 127, 132
18, 129, 129
19, 127, 126
20, 129, 124
21, 126, 119
22, 124, 123
23, 124, 125
24, 125, 125
25, 126, 125
26, 129, 127
27, 129, 129
28, 129, 128
29, 126, 129
30, 126, 127
31, 129, 126
32, 130, 123
33, 125, 123
34, 124, 127
35, 126, 126
36, 130, 127
37, 125, 126
38, 124, 125
39, 127, 124
40, 127, 122
41, 123, 126
42, 127, 125
43, 126, 124
44, 125, 128
45, 124, 130
46, 125, 131
47, 130, 128
48, 135, 128
49, 129, 126
50, 125, 125
51, 126, 128
52, 128, 128
53, 128, 125
54, 124, 123
55, 125, 126
56, 125, 129
57, 126, 130
58, 127, 128
59, 124, 127
60, 124, 126
61, 124, 124
62, 123, 126
63, 126, 129
64, 126, 127
65, 121, 127
66, 129, 130
67, 135, 127
68, 130, 124
69, 128, 124
70, 125, 125
71, 129, 129
72, 127, 129
73, 126, 128
74, 130, 127
75, 129, 126
76, 128, 126
77, 122, 125
78, 123, 131
79, 130, 132
80, 127, 124
81, 129, 125
82, 127, 126
83, 123, 127
84, 124, 130
85, 124, 132
86, 123, 128
87, 124, 132
88, 129, 127
89, 129, 124
90, 123, 127
91, 120, 126
92, 122, 131
93, 126, 131
94, 129, 130
95, 125, 129
96, 128, 130
97, 127, 126
98, 124, 123
99, 126, 123
100, 128, 124
101, 127, 126
102, 130, 130
103, 131, 132
104, 128, 129
105, 127, 125
106, 128, 126
107, 130, 122
108, 126, 121
109, 125, 126
110, 126, 128
111, 129, 123
112, 129, 125
113, 129, 123
114, 126, 120
115, 123, 123
116, 127, 129
117, 127, 129
118, 125, 130
119, 127, 128
120, 125, 127
121, 124, 129
122, 125, 129
123, 129, 126
124, 130, 124
125, 126, 126
126, 126, 126
127, 128, 127
128, 126, 125
129, 125, 126
130, 125, 125
131, 124, 127
132, 125, 126
133, 130, 130
134, 129, 128
135, 125, 122
136, 127, 125
137, 130, 126
138, 128, 125
139, 123, 126
140, 127, 130
141, 130, 126
142, 131, 120
143, 128, 126
144, 126, 129
145, 131, 127
146, 131, 125
147, 129, 128
148, 123, 127
149, 121, 125
150, 122, 127
151, 126, 130
152, 129, 127
153, 130, 124
154, 126, 122
155, 126, 124
156, 129, 124
157, 125, 125
158, 123, 127
159, 122, 129
160, 121, 129
161, 125, 131
162, 128, 131
163, 130, 126
164, 129, 124
165, 125, 128
166, 127, 126
167, 129, 123
168, 128, 124
169, 124, 120
170, 122, 124
171, 124, 127
172, 125, 126
173, 126, 124
174, 130, 128
175, 128, 125
176, 123, 124
177, 126, 121
178, 123, 121
179, 123, 128
180, 125, 134
181, 128, 129
182, 127, 124
183, 124, 123
184, 120, 124
185, 121, 126
186, 124, 128
187, 129, 131
188, 130, 128
189, 126, 127
190, 128, 125
191, 130, 126
192, 126, 126
193, 124, 128
194, 127, 128
195, 127, 130
196, 130, 128
197, 126, 128
198, 126, 128
199, 130, 128
200, 129, 124
201, 126, 124
202, 124, 129
203, 121, 130
204, 123, 128
205, 130, 129
206, 132, 125
207, 130, 124
208, 131, 127
209, 127, 127
210, 125, 127
211, 126, 128
212, 127, 129
213, 130, 127
214, 122, 128
215, 123, 130
216, 126, 131
217, 128, 130
218, 125, 128
219, 128, 127
220, 129, 122
221, 126, 124
222, 128, 125
223, 127, 127
224, 127, 128
225, 125, 132
226, 124, 131
227, 128, 126
228, 133, 127
229, 130, 130
230, 127, 127
231, 127, 124
232, 128, 127
233, 127, 130
234, 127, 127
235, 126, 125
236, 126, 128
237, 128, 130
238, 129, 129
239, 131, 132
240, 132, 128
241, 127, 123
242, 124, 124
243, 127, 128
244, 127, 136
245, 129, 135
246, 130, 129
247, 130, 127
248, 131, 128
249, 129, 126
250, 131, 125
251, 127, 127
252, 122, 126
253, 124, 123
254, 126, 122
255, 127, 128
256, 127, 127
257, 129, 126
258, 126, 125
259, 126, 130
260, 125, 128
261, 129, 129
262, 134, 124
263, 129, 120
264, 125, 122
265, 122, 126
266, 124, 131
267, 128, 127
268, 130, 127
269, 128, 125
270, 133, 125
271, 131, 126
272, 127, 124
273, 125, 124
274, 128, 125
275, 130, 130
276, 130, 130
277, 127, 121
