Sample_Index, I, Q
398, 124, 126
399, 127, 129
400, 130, 130
401, 130, 131
402, 129, 127
403, 129, 124
404, 130, 129
405, 130, 126
406, 127, 125
407, 131, 126
408, 131, 128
409, 133, 128
410, 130, 124
411, 130, 124
412, 126, 123
413, 127, 125
414, 127, 125
415, 128, 127
416, 128, 128
417, 129, 126
418, 130, 124
419, 132, 124
420, 127, 131
421, 127, 128
422, 130, 125
423, 130, 126
424, 129, 122
425, 126, 122
426, 124, 126
427, 127, 128
428, 135, 128
429, 132, 124
430, 128, 122
431, 124, 123
432, 124, 125
433, 123, 126
434, 128, 128
435, 125, 128
436, 125, 127
437, 131, 125
438, 128, 120
439, 126, 118
440, 126, 121
441, 128, 129
442, 127, 128
443, 128, 123
444, 127, 126
445, 123, 129
446, 127, 129
447, 128, 127
448, 127, 126
449, 124, 130
450, 126, 131
451, 125, 129
452, 130, 130
453, 131, 128
454, 126, 128
455, 128, 130
456, 125, 130
457, 126, 127
458, 125, 131
459, 127, 131
460, 130, 130
461, 128, 126
462, 126, 127
463, 127, 127
464, 125, 127
465, 128, 131
466, 128, 128
467, 128, 127
468, 123, 131
469, 119, 127
470, 121, 128
471, 124, 131
472, 127, 130
473, 130, 128
474, 126, 126
475, 123, 126
476, 126, 124
477, 128, 125
478, 125, 125
479, 124, 130
480, 127, 131
481, 127, 131
482, 125, 129
483, 130, 125
484, 128, 126
485, 126, 130
486, 128, 128
487, 129, 128
488, 127, 129
489, 127, 126
490, 129, 128
491, 125, 125
492, 126, 127
493, 122, 126
494, 119, 127
495, 120, 130
496, 129, 132
497, 130, 127
498, 126, 124
499, 124, 129
500, 126, 126
501, 123, 124
502, 124, 129
503, 122, 130
504, 123, 127
505, 125, 127
506, 125, 125
507, 130, 124
508, 125, 129
509, 125, 126
510, 127, 124
511, 130, 128
512, 129, 129
513, 125, 124
514, 124, 126
515, 123, 130
516, 129, 130
517, 129, 129
518, 125, 128
519, 124, 128
520, 127, 129
521, 128, 127
522, 126, 128
523, 129, 131
524, 128, 130
525, 129, 127
526, 133, 127
527, 132, 127
528, 130, 127
529, 126, 130
530, 128, 127
531, 129, 126
532, 124, 128
533, 122, 134
534, 126, 130
535, 129, 129
536, 124, 126
537, 125, 126
538, 128, 127
539, 129, 127
540, 127, 127
541, 129, 127
542, 126, 122
543, 127, 127
544, 126, 129
545, 128, 130
546, 128, 127
547, 130, 132
548, 128, 131
549, 127, 125
550, 128, 123
551, 122, 126
552, 123, 132
553, 126, 132
554, 132, 126
555, 131, 126
556, 125, 128
557, 127, 126
558, 124, 128
559, 129, 128
560, 124, 126
561, 128, 130
562, 127, 126
563, 125, 124
564, 128, 124
565, 129, 126
566, 124, 130
567, 129, 127
568, 126, 127
569, 124, 130
570, 125, 128
571, 128, 129
572, 120, 127
573, 125, 129
574, 129, 132
575, 131, 128
576, 128, 127
577, 126, 127
578, 128, 132
579, 126, 131
580, 129, 129
581, 131, 124
582, 125, 123
583, 125, 123
584, 125, 125
585, 128, 129
586, 128, 127
587, 126, 125
588, 126, 127
589, 128, 127
590, 127, 127
591, 124, 127
592, 128, 125
593, 122, 126
594, 123, 126
595, 124, 126
596, 127, 126
597, 129, 128
598, 128, 125
599, 127, 127
600, 124, 125
601, 124, 123
602, 124, 125
603, 127, 122
604, 128, 128
605, 125, 126
606, 124, 130
607, 122, 130
608, 122, 127
609, 125, 128
610, 125, 129
611, 128, 128
612, 123, 130
613, 121, 124
614, 128, 121
615, 124, 122
616, 125, 128
617, 127, 135
618, 128, 127
619, 126, 129
620, 126, 128
621, 127, 123
622, 122, 125
623, 126, 126
624, 125, 128
625, 129, 128
626, 129, 125
627, 124, 126
628, 124, 126
629, 124, 127
630, 126, 129
631, 127, 130
632, 129, 127
633, 130, 125
634, 131, 126
635, 126, 122
