Sample_Index, I, Q
0, 120, 130
1, 122, 134
2, 126, 129
3, 127, 124
4, 126, 121
5, 124, 125
6, 126, 128
7, 125, 125
8, 123, 128
9, 127, 129
10, 127, 129
11, 124, 127
12, 126, 125
13, 123, 128
14, 120, 126
15, 124, 127
16, 128, 129
17, 133, 129
18, 127, 127
19, 125, 123
20, 124, 124
21, 124, 132
22, 126, 132
23, 128, 128
24, 128, 127
25, 131, 125
26, 129, 126
27, 127, 122
28, 123, 126
29, 127, 130
30, 129, 126
31, 125, 127
32, 127, 129
33, 127, 131
34, 127, 128
35, 132, 127
36, 133, 128
37, 128, 128
38, 125, 125
39, 123, 124
40, 124, 125
41, 123, 126
42, 122, 129
43, 130, 129
44, 133, 126
45, 128, 130
46, 128, 123
47, 130, 125
48, 131, 127
49, 128, 127
50, 123, 128
51, 125, 131
52, 131, 132
53, 129, 126
54, 124, 126
55, 129, 127
56, 128, 127
57, 127, 127
58, 127, 127
59, 125, 124
60, 123, 124
61, 121, 129
62, 125, 132
63, 130, 130
64, 130, 127
65, 127, 126
66, 128, 124
67, 127, 126
68, 129, 128
69, 125, 126
70, 123, 125
71, 122, 132
72, 125, 134
73, 125, 131
74, 126, 124
75, 125, 126
76, 126, 129
77, 128, 122
78, 128, 119
79, 121, 120
80, 120, 128
81, 120, 130
82, 125, 133
83, 132, 131
84, 130, 125
85, 128, 131
86, 126, 129
87, 125, 126
88, 125, 127
89, 129, 126
90, 127, 128
91, 128, 133
92, 130, 123
93, 133, 122
94, 129, 125
95, 126, 128
96, 123, 132
97, 130, 132
98, 130, 126
99, 126, 123
100, 128, 125
101, 133, 128
102, 127, 129
103, 126, 128
104, 126, 125
105, 125, 122
106, 121, 125
107, 121, 129
108, 124, 127
109, 128, 122
110, 130, 125
111, 128, 122
112, 124, 122
113, 125, 126
114, 126, 123
115, 124, 124
116, 125, 131
117, 128, 132
118, 127, 126
119, 124, 123
120, 124, 122
121, 122, 133
122, 128, 132
123, 125, 131
124, 127, 128
125, 130, 127
126, 129, 123
127, 128, 122
128, 126, 126
129, 128, 127
130, 124, 131
131, 125, 128
132, 131, 126
133, 130, 123
134, 123, 124
135, 120, 131
136, 124, 131
137, 126, 126
138, 125, 128
139, 131, 128
140, 129, 126
141, 126, 127
142, 126, 122
143, 121, 124
144, 123, 128
145, 126, 127
146, 126, 132
147, 128, 129
148, 127, 126
149, 125, 127
150, 125, 121
151, 122, 124
152, 124, 131
153, 131, 132
154, 130, 127
155, 129, 129
156, 125, 124
157, 123, 123
158, 123, 126
159, 123, 126
160, 124, 125
161, 125, 127
162, 126, 124
163, 124, 122
164, 123, 122
165, 123, 126
166, 128, 129
167, 127, 130
168, 123, 128
169, 129, 129
170, 128, 124
171, 121, 124
172, 121, 123
173, 126, 126
174, 130, 128
175, 127, 129
176, 126, 128
177, 128, 131
178, 128, 127
179, 126, 124
180, 124, 126
181, 124, 128
182, 130, 132
183, 134, 128
184, 132, 123
185, 127, 124
186, 123, 125
187, 126, 128
188, 126, 130
189, 129, 126
190, 130, 126
191, 129, 126
192, 127, 127
193, 126, 127
194, 127, 128
195, 126, 127
196, 131, 129
197, 131, 132
198, 132, 126
199, 128, 124
200, 127, 125
201, 127, 127
202, 125, 131
203, 128, 130
204, 131, 127
205, 130, 123
206, 128, 128
207, 128, 126
208, 122, 125
209, 118, 124
210, 122, 128
211, 128, 130
212, 127, 131
213, 125, 125
214, 130, 124
215, 128, 126
216, 124, 128
217, 123, 128
218, 125, 129
219, 131, 131
220, 130, 130
221, 128, 128
222, 127, 128
223, 126, 126
224, 127, 127
225, 132, 127
226, 130, 123
227, 121, 122
228, 124, 126
229, 126, 127
230, 122, 126
231, 121, 127
232, 124, 131
233, 129, 129
234, 131, 124
235, 124, 123
236, 119, 127
237, 125, 128
238, 130, 127
239, 128, 128
240, 127, 131
241, 128, 129
242, 128, 128
243, 127, 125
244, 129, 125
245, 131, 126
246, 130, 124
247, 122, 125
248, 119, 125
249, 123, 127
250, 125, 129
251, 125, 130
252, 126, 129
253, 125, 130
254, 124, 127
255, 129, 125
256, 127, 121
257, 124, 123
258, 123, 126
259, 122, 127
260, 124, 129
261, 127, 126
262, 124, 128
263, 126, 131
264, 127, 131
265, 130, 125
266, 130, 127
267, 126, 123
268, 120, 127
269, 125, 132
270, 128, 130
271, 130, 130
272, 130, 126
273, 129, 125
274, 125, 126
275, 124, 122
276, 121, 124
277, 122, 131
278, 126, 132
279, 132, 129
280, 132, 127
281, 128, 126
282, 124, 127
283, 125, 126
284, 127, 126
285, 124, 129
286, 128, 126
287, 129, 121
288, 123, 128
289, 124, 128
290, 125, 128
291, 122, 126
292, 126, 131
293, 128, 132
294, 128, 127
295, 126, 125
296, 125, 123
297, 123, 127
298, 124, 133
299, 129, 132
300, 129, 131
301, 125, 126
302, 127, 123
303, 129, 125
304, 126, 129
305, 122, 128
306, 119, 129
307, 125, 129
308, 126, 126
309, 124, 130
310, 125, 128
311, 130, 125
312, 127, 124
313, 124, 125
314, 126, 124
315, 127, 123
316, 124, 129
317, 128, 131
318, 130, 129
319, 130, 128
320, 130, 128
321, 129, 128
322, 127, 125
323, 123, 123
324, 124, 123
325, 124, 130
326, 127, 133
327, 129, 131
328, 127, 123
329, 127, 124
330, 133, 129
331, 125, 127
332, 121, 128
333, 128, 131
334, 133, 131
335, 137, 125
336, 127, 120
337, 123, 122
338, 129, 126
339, 125, 127
340, 124, 129
341, 128, 127
342, 127, 126
343, 127, 125
344, 127, 127
345, 126, 124
346, 129, 125
347, 129, 128
348, 128, 129
349, 129, 125
350, 126, 125
351, 128, 127
352, 130, 126
353, 127, 124
354, 127, 131
355, 132, 131
356, 133, 127
357, 128, 122
358, 125, 123
359, 126, 126
360, 126, 125
361, 122, 127
362, 120, 129
363, 127, 129
364, 131, 127
365, 132, 124
366, 125, 123
367, 121, 126
368, 123, 130
369, 131, 130
370, 131, 127
371, 126, 128
372, 127, 124
373, 127, 128
374, 123, 128
375, 125, 128
376, 127, 127
377, 127, 123
378, 125, 129
379, 126, 126
380, 128, 127
381, 129, 123
382, 125, 126
383, 119, 132
384, 122, 131
385, 126, 124
386, 135, 123
387, 134, 123
388, 126, 123
389, 120, 122
390, 124, 126
391, 128, 127
392, 126, 130
393, 128, 129
394, 130, 126
395, 131, 128
396, 126, 122
397, 120, 126
398, 124, 126
399, 127, 127
400, 127, 129
401, 126, 129
402, 129, 125
403, 127, 122
404, 124, 131
405, 127, 130
406, 128, 127
407, 129, 128
408, 126, 124
409, 120, 121
410, 124, 124
411, 125, 134
412, 126, 131
413, 128, 125
414, 128, 128
415, 128, 127
416, 127, 124
417, 124, 126
418, 127, 126
419, 132, 132
420, 130, 127
421, 128, 127
422, 128, 126
423, 127, 126
424, 128, 124
425, 127, 124
426, 128, 131
427, 129, 133
428, 129, 132
429, 122, 125
430, 123, 125
431, 126, 124
432, 124, 123
433, 126, 125
434, 129, 124
435, 126, 128
436, 128, 123
437, 128, 123
438, 126, 125
439, 122, 127
440, 124, 128
441, 130, 128
442, 130, 128
443, 125, 128
444, 122, 128
445, 126, 129
446, 124, 132
447, 122, 134
448, 128, 131
449, 132, 127
450, 128, 124
451, 125, 129
452, 128, 129
453, 125, 122
454, 125, 124
455, 120, 128
456, 123, 131
457, 131, 131
458, 130, 128
459, 126, 126
460, 124, 127
461, 125, 129
462, 124, 130
463, 127, 128
464, 131, 126
465, 129, 125
466, 128, 125
467, 130, 124
468, 128, 127
469, 128, 124
470, 127, 123
471, 126, 130
472, 127, 130
473, 126, 129
474, 132, 123
475, 131, 118
476, 125, 123
477, 124, 131
478, 128, 133
479, 130, 131
480, 130, 130
481, 125, 125
482, 124, 123
483, 127, 122
484, 125, 122
485, 124, 126
486, 121, 130
487, 129, 130
488, 133, 125
489, 130, 119
490, 130, 128
491, 128, 130
492, 127, 124
493, 129, 124
494, 126, 123
495, 127, 123
496, 125, 123
497, 123, 126
498, 128, 122
499, 130, 128
500, 129, 128
501, 128, 126
502, 126, 125
503, 124, 125
504, 124, 127
505, 123, 126
506, 124, 130
507, 128, 133
508, 129, 127
509, 131, 121
510, 127, 115
511, 122, 126
512, 122, 127
513, 126, 125
514, 127, 132
515, 126, 128
516, 126, 130
517, 128, 130
518, 130, 129
519, 130, 128
520, 128, 125
521, 126, 120
522, 120, 122
523, 122, 126
524, 123, 126
525, 125, 128
526, 126, 128
527, 126, 129
528, 128, 129
529, 129, 127
530, 128, 125
531, 125, 125
532, 124, 126
533, 123, 127
534, 125, 128
535, 123, 126
536, 126, 121
537, 125, 123
538, 126, 124
539, 126, 123
540, 127, 125
541, 126, 129
542, 127, 128
543, 124, 130
544, 127, 130
545, 130, 127
546, 125, 129
