Sample_Index, I, Q
0, 121, 126
1, 123, 128
2, 125, 131
3, 127, 127
4, 130, 128
5, 131, 125
6, 128, 127
7, 126, 127
8, 125, 122
9, 124, 126
10, 128, 128
11, 133, 130
12, 133, 126
13, 127, 121
14, 126, 123
15, 127, 124
16, 127, 126
17, 129, 127
18, 129, 128
19, 128, 128
20, 132, 126
21, 130, 128
22, 126, 128
23, 123, 127
24, 125, 128
25, 128, 129
26, 128, 126
27, 128, 130
28, 132, 127
29, 132, 127
30, 126, 129
31, 124, 127
32, 130, 127
33, 129, 127
34, 126, 126
35, 125, 128
36, 126, 127
37, 133, 127
38, 127, 125
39, 125, 123
40, 124, 125
41, 125, 126
42, 130, 128
43, 131, 129
44, 128, 126
45, 126, 126
46, 124, 126
47, 124, 128
48, 127, 130
49, 128, 131
50, 129, 127
51, 128, 125
52, 126, 125
53, 128, 127
54, 128, 128
55, 126, 130
56, 126, 130
57, 123, 125
58, 122, 124
59, 121, 125
60, 122, 130
61, 127, 131
62, 125, 128
63, 124, 126
64, 127, 122
65, 125, 121
66, 120, 125
67, 124, 131
68, 128, 131
69, 125, 126
70, 127, 123
71, 124, 123
72, 126, 123
73, 126, 126
74, 130, 127
75, 131, 126
76, 126, 126
77, 126, 125
78, 128, 121
79, 128, 120
80, 123, 122
81, 121, 125
82, 127, 126
83, 128, 126
84, 128, 125
85, 128, 126
86, 127, 125
87, 127, 128
88, 127, 129
89, 127, 131
90, 128, 130
91, 130, 129
92, 126, 129
93, 127, 129
94, 126, 128
95, 129, 129
96, 131, 128
97, 130, 124
98, 127, 122
99, 122, 125
100, 119, 123
101, 123, 127
102, 127, 131
103, 127, 128
104, 126, 123
105, 126, 126
106, 126, 126
107, 125, 127
108, 124, 126
109, 125, 127
110, 127, 128
111, 132, 130
112, 130, 126
113, 126, 128
114, 126, 128
115, 127, 127
116, 126, 126
117, 127, 124
118, 125, 125
119, 124, 125
120, 130, 127
121, 132, 123
122, 126, 125
123, 123, 125
124, 123, 127
125, 126, 128
126, 129, 126
127, 129, 126
128, 128, 128
129, 124, 128
130, 125, 130
131, 124, 127
132, 122, 125
133, 124, 127
134, 130, 127
135, 128, 127
136, 124, 128
137, 127, 128
138, 125, 124
139, 119, 122
140, 125, 126
141, 128, 130
142, 128, 126
143, 129, 127
144, 128, 126
145, 126, 123
146, 128, 125
147, 128, 125
148, 128, 124
149, 129, 122
150, 132, 125
151, 130, 123
152, 126, 124
153, 124, 125
154, 127, 127
155, 130, 128
156, 128, 126
157, 128, 124
158, 125, 123
159, 127, 124
160, 125, 127
161, 127, 127
162, 129, 130
163, 131, 129
164, 130, 129
165, 126, 126
166, 125, 124
167, 123, 128
168, 124, 128
169, 130, 126
170, 129, 129
171, 126, 132
172, 129, 131
173, 130, 125
174, 126, 124
175, 127, 129
176, 128, 123
177, 127, 123
178, 126, 128
179, 127, 127
180, 127, 126
181, 121, 120
182, 121, 126
183, 125, 130
184, 126, 126
185, 125, 125
186, 122, 127
187, 126, 128
188, 127, 128
189, 127, 125
190, 130, 123
191, 128, 124
192, 128, 126
193, 126, 125
194, 121, 124
195, 127, 128
196, 133, 126
197, 131, 127
198, 132, 126
199, 129, 127
200, 128, 125
201, 127, 126
202, 121, 124
203, 124, 129
204, 129, 129
205, 128, 127
206, 127, 125
207, 126, 128
